BHMC Worker Log
20 workers × 750 steps
xTB method        : GFN2-xTB
Temperature        : 600 K
Adaptive operators : True
Operators          : ['twist', 'large_displacement', 'mirror', 'roto_reflection', 'exchange', 'random_so3', 'principal_axis_rotation', 'com_com_approach', 'com_com_separation', 'random_displacement', 'random_rotation', 'local_twist', 'correlated_displacement', 'small_principal_axis_rotation']
Simulation box     : <modules.box.SimulationBox object at 0x7fea99e7c850>
Worker 11: Step 5 accepted, E=-10.835930 Ha
Worker 3: Step 17 accepted, E=-10.832983 Ha
Worker 2: Step 78 accepted, E=-10.836068 Ha
Worker 1: Step 104 accepted, E=-10.833934 Ha
Worker 11: Step 6 accepted, E=-10.836072 Ha
Worker 3: Step 18 accepted, E=-10.832991 Ha
Worker 1: No change from 'small_principal_axis_rotation', skipping.
Worker 11: No change from 'mirror', skipping.
Worker 2: Step 79 accepted, E=-10.836080 Ha
Worker 3: Step 19 accepted, E=-10.833109 Ha
Worker 1: Step 106 accepted, E=-10.833869 Ha
Worker 11: Step 8 accepted, E=-10.836008 Ha
Worker 2: Step 80 accepted, E=-10.836105 Ha
Worker 3: Step 20 accepted, E=-10.833167 Ha
Worker 1: Step 107 accepted, E=-10.833970 Ha
Worker 11: Step 9 accepted, E=-10.835966 Ha
Worker 2: Step 81 accepted, E=-10.836049 Ha
Worker 3: Step 21 accepted, E=-10.835548 Ha
Worker 1: Step 108 accepted, E=-10.834009 Ha
Worker 2: Step 82 accepted, E=-10.836044 Ha
Worker 1: No change from 'roto_reflection', skipping.
Worker 2: Step 83 accepted, E=-10.835939 Ha
Worker 1: Step 110 accepted, E=-10.834009 Ha
Worker 3: Step 23 accepted, E=-10.836068 Ha
Worker 2: Step 84 accepted, E=-10.835941 Ha
Worker 1: Step 111 accepted, E=-10.834088 Ha
Worker 3: Step 24 accepted, E=-10.835887 Ha
Worker 2: Step 85 accepted, E=-10.835918 Ha
Worker 1: Step 112 accepted, E=-10.834083 Ha
Worker 2: No change from 'principal_axis_rotation', skipping.
Worker 3: Step 25 accepted, E=-10.835827 Ha
Worker 1: Step 113 accepted, E=-10.834061 Ha
Worker 2: Step 87 accepted, E=-10.835884 Ha
Worker 3: Step 26 accepted, E=-10.836065 Ha
Worker 1: Step 114 accepted, E=-10.834040 Ha
Worker 2: Step 88 accepted, E=-10.835811 Ha
Worker 3: Step 27 accepted, E=-10.836077 Ha
Worker 1: Step 115 accepted, E=-10.833677 Ha
Worker 2: Step 89 accepted, E=-10.835887 Ha
Worker 3: Step 28 accepted, E=-10.836065 Ha
Worker 1: Step 116 accepted, E=-10.833685 Ha
Worker 1: No change from 'small_principal_axis_rotation', skipping.
Worker 2: Step 90, op=large_displacement, ΔE=0.0701 eV, accept=True
Worker 2: Step 90 accepted, E=-10.833312 Ha
Worker 3: Step 29 accepted, E=-10.836100 Ha
Worker 1: Step 118 accepted, E=-10.833718 Ha
Worker 2: Step 91 accepted, E=-10.833323 Ha
Worker 3: Step 30, op=random_rotation, ΔE=0.0002 eV, accept=True
Worker 3: Step 30 accepted, E=-10.836094 Ha
Worker 1: Step 119 accepted, E=-10.833710 Ha
Worker 2: Step 92 accepted, E=-10.833844 Ha
Worker 3: Step 31 accepted, E=-10.836095 Ha
Worker 1: Step 120, op=com_com_approach, ΔE=0.0026 eV, accept=True
Worker 1: Step 120 accepted, E=-10.833616 Ha
Worker 3: Step 32 accepted, E=-10.836095 Ha
Worker 2: Step 93 accepted, E=-10.833811 Ha
Worker 0: Step 19 accepted, E=-10.833417 Ha
Worker 1: Step 121 accepted, E=-10.833630 Ha
Worker 3: Step 33 accepted, E=-10.836097 Ha
Worker 2: Step 94 accepted, E=-10.834183 Ha
Worker 0: Step 20 accepted, E=-10.833557 Ha
Worker 1: Step 122 accepted, E=-10.833675 Ha
Worker 3: Step 34 accepted, E=-10.836064 Ha
Worker 0: Step 21 accepted, E=-10.833546 Ha
Worker 1: Step 123 accepted, E=-10.833703 Ha
Worker 1: No change from 'small_principal_axis_rotation', skipping.
